# Hydrogeological attributes derived from the hydrogeologic map of Switzerland by Swisstopo
gauge_id,unconsol_coarse_perc,unconsol_medium_perc,unconsol_fine_perc,unconsol_imperm_perc,hardrock_perc,hardrock_imperm_perc,karst_perc,water_perc,null_perc,ext_area_perc
3023,0.0,0.0,28.91,0.0,22.49,7.84,40.76,0.0,0.0,0.0
3024,4.77,0.0,16.53,0.0,2.41,73.92,2.37,0.0,0.0,0.0
3025,0.0,0.0,4.22,0.0,32.3,61.01,2.47,0.0,0.0,0.0
3026,3.64,0.0,19.91,0.0,5.98,64.61,5.86,0.0,0.0,0.0
3027,0.0,0.0,7.41,0.0,0.92,64.97,26.7,0.0,0.0,0.0
3028,0.01,0.0,26.88,0.0,0.0,73.1,0.0,0.0,0.0,0.01
3029,0.0,0.0,10.91,0.0,0.46,4.13,84.5,0.0,0.0,0.0
3030,0.0,0.0,2.31,0.0,0.0,74.103,23.588,0.0,0.0,0.0
3031,0.0,0.0,6.4,0.0,10.89,63.82,18.89,0.0,0.0,0.0
3032,0.0,0.0,1.74,0.0,8.02,89.38,0.86,0.0,0.0,0.0
3033,0.61,1.96,12.66,0.13,29.69,31.13,21.08,2.74,0.0,0.0
4001,0.0,0.0,0.0,0.0,92.89,7.11,0.0,0.0,0.0,0.0
4002,0.0,3.77,1.75,0.0,51.71,39.55,0.0,0.0,3.22,0.0
4003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4004,1.92,2.61,2.31,0.17,12.71,11.87,32.71,0.0,35.7,0.0
4005,0.0,0.0,0.81,0.0,69.77,18.37,11.05,0.0,0.0,0.0
4006,2.01,0.18,1.96,0.0,11.15,5.7,17.99,0.0,61.01,0.0
4007,0.0,4.53,21.48,0.98,0.49,9.54,32.88,0.0,30.09,0.01
4008,0.24,9.618,28.804,3.179,1.99,8.198,25.945,0.0,22.026,0.0
4009,0.59,7.649,7.229,0.0,8.689,12.869,2.7,0.0,60.274,0.0
4010,3.32,3.02,24.86,1.73,15.18,28.74,12.89,4.89,5.37,0.0
4011,1.83,16.828,46.275,0.97,2.46,10.519,0.0,0.11,21.008,0.0
4012,0.0,13.63,63.02,0.0,0.0,20.09,0.0,0.0,3.26,0.0
4013,0.0,0.13,40.79,2.3,0.0,33.6,0.0,0.0,23.18,0.0
4014,0.0,7.96,53.35,1.2,0.0,24.09,0.0,0.0,13.4,0.0
4015,2.15,3.29,37.16,7.4,0.0,3.71,0.0,0.26,46.03,0.0
4016,11.53,2.35,55.79,5.21,3.23,18.8,0.0,0.29,2.79,0.01
4017,1.01,0.0,65.07,17.92,0.0,4.23,0.0,1.09,10.68,0.0
