# Supplementary geological attributes as rock type percentages based on the map of main lithologies across Switzerland (Swiss Geological Map by Swisstopo) and the map of molasse layers on the Swiss plateau (GeoMol by Swisstopo)
gauge_id,osm,omm,usm,api,amk,sus,dup,sal,oos,mpk,aap,fju,hes,mps,ups,ops,tie,ukd,uod,ood,qua
2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
2351,0.0,0.0,0.0,0.0,1.07,0.0,8.05,0.0,20.63,62.15,0.0,0.0,0.0,6.32,1.4,0.0,0.0,0.0,0.0,0.0,0.38
2352,0.0,0.0,0.0,86.19,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,9.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19
2355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,93.84,0.33
2356,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2364,0.0,0.0,0.0,0.0,94.47,1.33,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.23,40.77,0.0
2368,0.0,0.0,0.0,0.0,49.12,0.0,2.19,3.23,0.76,35.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,0.0,0.0,0.98
2369,0.0,33.4,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
